filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62
5804184_ny_vtd_to_63_with_5000_sims,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,1925,1925,1921,614,599,499,499,414,414,398,327,188,81,27
54696554_ny_vtd_to_63_with_5000_sims,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2466,2251,2251,1889,1889,995,995,725,711,296,147,95,59,24
58631650_ny_vtd_to_63_with_5000_sims,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1131,1131,1131,1114,903,903,596,596,294,246,246,171,113,55,30
5152362_ny_vtd_to_63_with_5000_sims,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,1935,1935,1301,1113,1113,1113,1112,1112,454,454,323,323,320,51
93733067_ny_vtd_to_63_with_5000_sims,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2626,2606,2496,2343,1343,757,716,716,716,716,716,365,171,148,85,44
8251572_ny_vtd_to_63_with_5000_sims,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2309,2291,1731,1731,1731,1731,1700,1700,1700,1700,1700,1700,1575,1575,1575,803,792,792,714,714,714,714,714,714,474,197,75,30
45495644_ny_vtd_to_63_with_5000_sims,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2423,2423,2423,2423,2253,2253,2253,2253,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,1706,1683,1406,1406,1406,1247,995,852,441,441,441,441,437,437,437,437,437,437,165,165,31
10426200_ny_vtd_to_63_with_5000_sims,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,1937,1937,1937,1937,1936,1936,1936,1936,1936,1936,1936,1936,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1603,1564,959,959,709,709,709,664,664,586,473,433,303,296,238,33
42632840_ny_vtd_to_63_with_5000_sims,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3042,3041,3041,3041,3041,2900,2900,2215,2197,2197,2197,2197,2197,2186,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,386,238,145,116,116,24
33824313_ny_vtd_to_63_with_5000_sims,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2502,2502,2491,2491,2098,2098,1109,1109,1109,896,589,563,196,56,31
