filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41
15793013_new_mexico_precincts_to_42_with_5000_sims,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1019,1019,1019,1019,982,982,982,982,982,982,823,823,823,823,823,823,823,823,823,779,773,773,602,299,299,299,169,17
47809168_new_mexico_precincts_to_42_with_5000_sims,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1288,1288,1288,1288,1288,1288,1288,1288,622,250,175,131,80,15
13189473_new_mexico_precincts_to_42_with_5000_sims,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1671,1671,1671,1671,1671,1038,1038,1038,1028,620,620,620,548,548,548,548,548,548,548,548,327,327,327,234,234,53,19
7976839_new_mexico_precincts_to_42_with_5000_sims,1963,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1261,1261,1261,1261,1261,1261,1261,1231,1174,1094,1094,456,368,257,139,128,67,25
25287204_new_mexico_precincts_to_42_with_5000_sims,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1825,1801,1801,894,672,514,393,393,393,223,184,130,93,41,14
30047910_new_mexico_precincts_to_42_with_5000_sims,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121,2087,2087,1529,1220,1220,962,962,962,962,799,791,789,446,446,367,335,326,326,290,290,290,290,290,109,58,17
99208920_new_mexico_precincts_to_42_with_5000_sims,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2689,2686,2686,2686,2686,2686,2686,2686,1145,1118,1118,1084,1040,995,492,217,88,55,24
76469600_new_mexico_precincts_to_42_with_5000_sims,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1346,1346,1336,1336,1336,809,809,288,186,61,20
1398122_new_mexico_precincts_to_42_with_5000_sims,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938,2936,2936,2936,2936,2936,2462,2462,2462,2462,2462,2462,2448,2172,2172,2132,1441,1441,1441,1441,1441,1441,1441,1441,751,479,228,68,16
32272740_new_mexico_precincts_to_42_with_5000_sims,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2906,2906,2906,2898,2859,2859,1832,1832,1786,1786,807,725,343,269,141,79,22
81803610_new_mexico_precincts_to_42_with_5000_sims,1661,1661,1661,1661,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1145,1145,1145,933,674,349,251,128,116,66,23
49212719_new_mexico_precincts_to_42_with_5000_sims,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1047,1042,1039,1039,1039,1039,1039,1037,1037,1037,1008,1008,1008,839,839,823,823,823,476,321,311,67,16
20081600_new_mexico_precincts_to_42_with_5000_sims,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,963,963,963,963,963,963,963,893,818,818,818,818,818,818,818,818,818,818,818,818,818,818,489,390,375,160,71,40,18
33830306_new_mexico_precincts_to_42_with_5000_sims,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3861,3861,3408,2093,1850,1846,1846,1846,1846,1846,1846,822,238,99,43,11
7146960_new_mexico_precincts_to_42_with_5000_sims,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749,1746,1746,1741,1641,1641,1641,1508,774,391,256,177,79,51,21
13767265_new_mexico_precincts_to_42_with_5000_sims,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874,2869,2869,2863,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2488,2488,1668,1220,1173,466,338,129,32,16
81130608_new_mexico_precincts_to_42_with_5000_sims,767,767,767,767,767,767,759,759,759,759,759,759,759,759,759,759,759,759,753,753,753,753,753,753,753,753,742,713,695,695,695,686,686,607,607,439,429,429,188,51,14
75452504_new_mexico_precincts_to_42_with_5000_sims,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1678,1678,1449,1449,1449,1339,1339,1339,1339,1339,1339,1339,1339,1317,1273,1273,1273,911,911,507,196,24
66594640_new_mexico_precincts_to_42_with_5000_sims,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1268,1268,1268,1268,1268,1221,1221,1221,929,929,929,929,929,929,597,318,280,280,181,53,13
80111289_new_mexico_precincts_to_42_with_5000_sims,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,951,951,950,928,928,928,503,435,426,231,184,92,43,16
94420569_new_mexico_precincts_to_42_with_5000_sims,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,1389,1383,1383,1383,1383,1383,1383,868,868,868,868,868,812,812,812,812,812,812,812,496,396,224,188,90,44,19
