File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
12103014_CA_cd_2020_map_to_52_with_5000_sims.csv,1,50,47,40,19,16,16
70353408_CA_cd_2020_map_to_52_with_5000_sims.csv,15,49,47,37,33,-1,-1
87159380_CA_cd_2020_map_to_52_with_5000_sims.csv,10,50,48,46,43,-1,-1
79677936_CA_cd_2020_map_to_52_with_5000_sims.csv,21,50,36,22,-1,-1,-1
8650058_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,46,42,35,-1,-1
64838110_CA_cd_2020_map_to_52_with_5000_sims.csv,7,50,49,30,28,27,-1
69447650_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,45,43,34,-1,-1
32276556_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,44,43,42,-1,-1
35378880_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,46,21,-1,-1,-1
54857088_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,47,44,-1,-1,-1
19558701_CA_cd_2020_map_to_52_with_5000_sims.csv,29,50,47,45,20,-1,-1
47095_CA_cd_2020_map_to_52_with_5000_sims.csv,18,50,48,45,-1,-1,-1
17419688_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,47,40,25,21,-1
97555996_CA_cd_2020_map_to_52_with_5000_sims.csv,8,50,46,44,-1,-1,-1
41106045_CA_cd_2020_map_to_52_with_5000_sims.csv,4,50,40,37,34,26,-1
66843163_CA_cd_2020_map_to_52_with_5000_sims.csv,6,50,46,45,44,19,-1
35100646_CA_cd_2020_map_to_52_with_5000_sims.csv,8,50,47,46,-1,-1,-1
18445515_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,45,44,-1,-1,-1
7536625_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,46,43,31,29,-1
93500008_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,48,44,-1,-1,-1
46874238_CA_cd_2020_map_to_52_with_5000_sims.csv,7,50,43,42,40,33,-1
70245195_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,45,28,-1,-1,-1
20770750_CA_cd_2020_map_to_52_with_5000_sims.csv,10,50,46,46,29,28,-1
93906742_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,48,45,38,-1,-1
45117714_CA_cd_2020_map_to_52_with_5000_sims.csv,22,50,47,41,-1,-1,-1
95830972_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,47,46,43,-1,-1
58719520_CA_cd_2020_map_to_52_with_5000_sims.csv,10,50,48,48,45,40,-1
95278912_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,44,18,-1,-1,-1
96942879_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,48,44,42,-1,-1
823530_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,48,47,44,-1,-1
37765600_CA_cd_2020_map_to_52_with_5000_sims.csv,2,50,45,43,42,19,-1
49696598_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,47,45,22,15,-1
77891970_CA_cd_2020_map_to_52_with_5000_sims.csv,9,50,47,35,16,-1,-1
97000600_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,47,41,22,22,-1
33598318_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,48,45,42,34,-1
31399680_CA_cd_2020_map_to_52_with_5000_sims.csv,8,50,49,47,35,27,-1
16861329_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,44,26,-1,-1,-1
31531712_CA_cd_2020_map_to_52_with_5000_sims.csv,8,50,48,40,34,-1,-1
24657348_CA_cd_2020_map_to_52_with_5000_sims.csv,5,50,47,47,44,40,-1
97003676_CA_cd_2020_map_to_52_with_5000_sims.csv,9,51,49,48,47,35,-1
93708384_CA_cd_2020_map_to_52_with_5000_sims.csv,16,51,47,43,-1,-1,-1
46268547_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,47,26,-1,-1,-1
51856019_CA_cd_2020_map_to_52_with_5000_sims.csv,23,50,44,40,-1,-1,-1
8737820_CA_cd_2020_map_to_52_with_5000_sims.csv,23,50,38,14,-1,-1,-1
643712_CA_cd_2020_map_to_52_with_5000_sims.csv,10,49,46,45,42,41,-1
60056090_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,47,43,31,-1,-1
744323_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,49,34,-1,-1,-1
39044159_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,48,45,45,-1,-1
60178176_CA_cd_2020_map_to_52_with_5000_sims.csv,2,50,46,40,38,15,-1
84443661_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,46,45,-1,-1,-1
56878748_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,41,34,34,-1,-1
57071250_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,47,45,31,29,-1
10171597_CA_cd_2020_map_to_52_with_5000_sims.csv,10,50,48,48,46,44,-1
54086211_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,46,45,34,-1,-1
63226284_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,47,42,40,27,-1
60342920_CA_cd_2020_map_to_52_with_5000_sims.csv,5,50,43,41,22,21,-1
96614865_CA_cd_2020_map_to_52_with_5000_sims.csv,4,50,48,41,13,11,-1
77756584_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,41,18,-1,-1,-1
54338275_CA_cd_2020_map_to_52_with_5000_sims.csv,21,50,44,39,32,-1,-1
1258192_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,49,-1,-1,-1,-1
85203985_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,49,47,36,-1,-1
57512456_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,46,31,26,-1,-1
60777756_CA_cd_2020_map_to_52_with_5000_sims.csv,19,49,46,41,36,-1,-1
52497462_CA_cd_2020_map_to_52_with_5000_sims.csv,7,51,47,38,33,-1,-1
