File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
49884500_PA_to_18_with_5000_sims.csv,249,15,-1,-1,-1,-1,-1
4554445_PA_to_18_with_5000_sims.csv,253,16,-1,-1,-1,-1,-1
2399527_PA_to_18_with_5000_sims.csv,299,15,-1,-1,-1,-1,-1
57144858_PA_to_18_with_5000_sims.csv,245,15,8,-1,-1,-1,-1
4320400_PA_to_18_with_5000_sims.csv,280,15,-1,-1,-1,-1,-1
32276556_PA_to_18_with_5000_sims.csv,237,15,10,7,-1,-1,-1
48197610_PA_to_18_with_5000_sims.csv,289,15,-1,-1,-1,-1,-1
6579800_PA_to_18_with_5000_sims.csv,270,14,-1,-1,-1,-1,-1
48754944_PA_to_18_with_5000_sims.csv,268,15,12,-1,-1,-1,-1
4669840_PA_to_18_with_5000_sims.csv,262,15,1,-1,-1,-1,-1
49696598_PA_to_18_with_5000_sims.csv,278,15,-1,-1,-1,-1,-1
27629519_PA_to_18_with_5000_sims.csv,317,15,-1,-1,-1,-1,-1
70245195_PA_to_18_with_5000_sims.csv,281,15,8,-1,-1,-1,-1
79677936_PA_to_18_with_5000_sims.csv,280,15,-1,-1,-1,-1,-1
69561384_PA_to_18_with_5000_sims.csv,270,16,-1,-1,-1,-1,-1
66798580_PA_to_18_with_5000_sims.csv,310,16,-1,-1,-1,-1,-1
96471136_PA_to_18_with_5000_sims.csv,292,15,11,-1,-1,-1,-1
62534192_PA_to_18_with_5000_sims.csv,310,16,-1,-1,-1,-1,-1
6458712_PA_to_18_with_5000_sims.csv,279,16,-1,-1,-1,-1,-1
66527642_PA_to_18_with_5000_sims.csv,277,15,-1,-1,-1,-1,-1
88584463_PA_to_18_with_5000_sims.csv,254,16,12,-1,-1,-1,-1
2627840_PA_to_18_with_5000_sims.csv,266,16,7,-1,-1,-1,-1
39747984_PA_to_18_with_5000_sims.csv,282,16,10,-1,-1,-1,-1
74031600_PA_to_18_with_5000_sims.csv,294,16,-1,-1,-1,-1,-1
40381509_PA_to_18_with_5000_sims.csv,288,15,-1,-1,-1,-1,-1
78800288_PA_to_18_with_5000_sims.csv,281,15,-1,-1,-1,-1,-1
2264208_PA_to_18_with_5000_sims.csv,271,15,-1,-1,-1,-1,-1
12001561_PA_to_18_with_5000_sims.csv,273,15,-1,-1,-1,-1,-1
51400320_PA_to_18_with_5000_sims.csv,279,16,-1,-1,-1,-1,-1
93618500_PA_to_18_with_5000_sims.csv,236,16,10,-1,-1,-1,-1
2135558_PA_to_18_with_5000_sims.csv,274,16,-1,-1,-1,-1,-1
12383652_PA_to_18_with_5000_sims.csv,290,16,9,-1,-1,-1,-1
26060195_PA_to_18_with_5000_sims.csv,290,16,-1,-1,-1,-1,-1
33824313_PA_to_18_with_5000_sims.csv,294,15,-1,-1,-1,-1,-1
77415480_PA_to_18_with_5000_sims.csv,291,15,9,-1,-1,-1,-1
86714350_PA_to_18_with_5000_sims.csv,290,15,-1,-1,-1,-1,-1
64889767_PA_to_18_with_5000_sims.csv,272,16,11,-1,-1,-1,-1
57014242_PA_to_18_with_5000_sims.csv,263,15,-1,-1,-1,-1,-1
45381280_PA_to_18_with_5000_sims.csv,288,15,-1,-1,-1,-1,-1
7004921_PA_to_18_with_5000_sims.csv,278,15,11,-1,-1,-1,-1
1922930_PA_to_18_with_5000_sims.csv,291,15,-1,-1,-1,-1,-1
62251925_PA_to_18_with_5000_sims.csv,273,15,-1,-1,-1,-1,-1
18115366_PA_to_18_with_5000_sims.csv,301,15,-1,-1,-1,-1,-1
39076710_PA_to_18_with_5000_sims.csv,271,16,-1,-1,-1,-1,-1
51835224_PA_to_18_with_5000_sims.csv,289,15,-1,-1,-1,-1,-1
30574434_PA_to_18_with_5000_sims.csv,298,14,-1,-1,-1,-1,-1
99684520_PA_to_18_with_5000_sims.csv,292,16,-1,-1,-1,-1,-1
76340352_PA_to_18_with_5000_sims.csv,267,15,-1,-1,-1,-1,-1
85531288_PA_to_18_with_5000_sims.csv,254,15,-1,-1,-1,-1,-1
44498374_PA_to_18_with_5000_sims.csv,286,16,9,-1,-1,-1,-1
34921340_PA_to_18_with_5000_sims.csv,264,16,9,-1,-1,-1,-1
97046560_PA_to_18_with_5000_sims.csv,293,14,-1,-1,-1,-1,-1
78770134_PA_to_18_with_5000_sims.csv,284,16,11,-1,-1,-1,-1
96614865_PA_to_18_with_5000_sims.csv,298,15,-1,-1,-1,-1,-1
75101616_PA_to_18_with_5000_sims.csv,281,16,-1,-1,-1,-1,-1
4113288_PA_to_18_with_5000_sims.csv,289,15,-1,-1,-1,-1,-1
57050550_PA_to_18_with_5000_sims.csv,303,15,-1,-1,-1,-1,-1
45385090_PA_to_18_with_5000_sims.csv,275,15,-1,-1,-1,-1,-1
11589085_PA_to_18_with_5000_sims.csv,283,15,-1,-1,-1,-1,-1
87159380_PA_to_18_with_5000_sims.csv,273,15,-1,-1,-1,-1,-1
43901638_PA_to_18_with_5000_sims.csv,259,15,-1,-1,-1,-1,-1
71159750_PA_to_18_with_5000_sims.csv,261,15,-1,-1,-1,-1,-1
5313320_PA_to_18_with_5000_sims.csv,264,15,-1,-1,-1,-1,-1
8821616_PA_to_18_with_5000_sims.csv,306,16,-1,-1,-1,-1,-1
35378880_PA_to_18_with_5000_sims.csv,270,16,-1,-1,-1,-1,-1
84443661_PA_to_18_with_5000_sims.csv,268,15,12,-1,-1,-1,-1
60308744_PA_to_18_with_5000_sims.csv,292,16,-1,-1,-1,-1,-1
83496765_PA_to_18_with_5000_sims.csv,258,15,9,-1,-1,-1,-1
