Shapefile,File Name,Generation,Max,Min,Median,Ratio Max to Min,Ratio Max to Median
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,39,0.0981851982135583,0.0257005564337249,0.045817091812385954,3.820353013241273,2.142981894521193
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,40,0.0890857164013235,0.0226140013675502,0.04377841123627435,3.9394052805336965,2.0349234676544854
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,41,0.0993410414480119,0.0213535230931803,0.04043034186198875,4.652208491054039,2.457091305018348
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,42,0.169463335685188,0.0200158949387863,0.03627451030400815,8.46643810848578,4.671691892322063
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,43,0.119308188893245,0.0154246173897654,0.04748026026232715,7.73492047669259,2.512795596192407
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,44,0.101961236916891,0.0161489908586718,0.047533312547802145,6.313783802914171,2.145047997956236
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,45,0.0859960737958054,0.0190722420213902,0.0507721363468997,4.50896510747702,1.6937651236150235
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,46,0.0761822328794592,0.018353476188203,0.049497275741796,4.1508339945119825,1.5391197139185209
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,47,0.150199677232581,0.0218126739668049,0.050273594432174246,6.885890169227249,2.9876454812718896
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,48,0.109624876249703,0.0141716767128602,0.0459457010836668,7.735490899973962,2.3859659046246104
50x50_grid,14328277_50x50_grid_to_50_with_20_sims,49,0.101830982890661,0.0207929607167652,0.04306229072356395,4.897377736521932,2.364736784309955
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,1,0.0705408853902195,0.0399929228581779,0.04462223802264405,1.7638342073763944,1.5808459753726996
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,2,0.0651667872022753,0.0386810642662162,0.05042411125984905,1.6847206362724503,1.2923735406352184
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,3,0.0699806421803852,0.0378565664061729,0.0474710175690128,1.8485734133821006,1.4741761555595092
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,4,0.070474802315724,0.0377177304046288,0.04979176495047785,1.868479401058426,1.4153907254707119
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,5,0.0989596250252129,0.037605717945925,0.047885978908947344,2.631504739984263,2.0665678614063503
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,6,0.0830224881065025,0.0388071976822267,0.04845722058444385,2.1393579816386987,1.7133151077417572
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,7,0.0937768748798901,0.0346947636957017,0.04775958664382175,2.7029114739728874,1.9635193993459994
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,8,0.0705446275477283,0.0363912409432178,0.049315853774367896,1.938505687613152,1.4304655024424244
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,9,0.0650654747741238,0.0369596943419678,0.0483925838527064,1.760444071103744,1.3445340090160314
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,10,0.0951128794658306,0.0351075802563868,0.046041191136858645,2.7091835658063497,2.065821433314031
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,11,0.0816658781749152,0.0325822418534215,0.047181634805726055,2.5064536241031976,1.7308827579031678
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,12,0.0950377748916593,0.031116160800466,0.0522166752118417,3.054289875318937,1.8200656113414633
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,13,0.068150396782643,0.0356734135533795,0.0506393704932619,1.910397407880996,1.3457986566343894
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,14,0.0807321594971702,0.0341057428352746,0.05023740605073115,2.3671133593862446,1.6070128982305456
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,15,0.081556711917383,0.0364965681122247,0.04644236376947465,2.2346405740562,1.7560844302026697
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,16,0.0829247747761713,0.0328236840891473,0.0501919710828983,2.526370121981196,1.6521521866358007
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,17,0.0813633100998745,0.0314840437317426,0.048335804640982596,2.5842712833562422,1.6832927620468079
50x50_grid,3654992_50x50_grid_to_50_with_20_sims,18,0.0996859939210314,0.0291751972878888,0.04738773313047785,3.4168061637208886,2.1036244474188077
